wine_link,name,year,winery,rating,rating_qty,price,body,tannins,sweetness,acidity,notes,pairings,grapes,region,style,image
https://www.vivino.com/catena-zapata-nicolas-catena-zapata/w/1868?year=2021&price_id=36737846,Nicolás Catena Zapata,2021,Catena Zapata,4.4,292,104.99,74.43806500000001%,48.048215%,13.31156%,44.043485%,"{'oaky': 1336, 'black fruit': 1218, 'earthy': 665, 'spices': 344, 'red fruit': 258, 'floral': 97, 'dried fruit': 59, 'vegetal': 46, 'yeasty': 43, 'ageing': 22, 'citrus': 17, 'tropical': 2, 'tree fruit': 1}","['beef', 'lamb', 'poultry', 'game (deer, venison)']","['Cabernet Sauvignon', 'Malbec']","['Argentina', 'Mendoza']",Argentinian Cabernet Sauvignon - Malbec,https://images.vivino.com/thumbs/cOU4NG1bS7qni9iLDXwNnQ_pb_x600.png
https://www.vivino.com/catena-zapata-adrianna-vineyard-white-stones-chardonnay-mendoza/w/5745097?year=2019&price_id=29972151,Adrianna Vineyard White Stones Chardonnay,2019,Catena Zapata,4.4,272,139.98,51.047265%,,13.4267225%,47.167365000000004%,"{'tree fruit': 245, 'citrus': 238, 'earthy': 221, 'oaky': 207, 'yeasty': 63, 'tropical': 45, 'ageing': 42, 'vegetal': 31, 'spices': 21, 'floral': 19, 'red fruit': 3}","['pork', 'vegetarian', 'poultry', 'rich fish (salmon, tuna etc)']",['100%Chardonnay'],"['Argentina', 'Mendoza']",Argentinian Chardonnay,https://images.vivino.com/thumbs/moA8OTV-QeqK1S0WlHl54w_pb_x600.png
https://www.vivino.com/tapiz-black-tears-malbec/w/1186083?year=2019&price_id=38592825,Black Tears Malbec,2019,Tapiz,4.4,241,46.95,69.88170499999998%,36.18438%,22.209345%,35.829620000000006%,"{'black fruit': 428, 'oaky': 397, 'spices': 125, 'earthy': 120, 'red fruit': 69, 'floral': 29, 'ageing': 22, 'dried fruit': 12, 'yeasty': 10, 'vegetal': 7, 'citrus': 7, 'tree fruit': 2}","['beef', 'lamb', 'pork']",['Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,https://images.vivino.com/thumbs/blwCXNKDTpKlKKK_6DPN5A_pb_x600.png
https://www.vivino.com/algodon-winemakers-selection-grand-cuvee/w/5513534?year=2014&price_id=37200883,Winemakers Selection Grand Cuvee,2014,Algodon,4.4,based,,65.565625%,42.042187500000004%,29.871874999999996%,56.0953125%,"{'oaky': 7, 'spices': 5, 'red fruit': 2, 'black fruit': 1, 'earthy': 1}","['beef', 'lamb', 'pork', 'poultry', 'mushrooms', 'blue cheese']","['Shiraz/Syrah', 'Cabernet Sauvignon', 'Malbec', 'Bonarda']","['Argentina', 'Mendoza']",Argentinian Malbec Red Blend,https://images.vivino.com/thumbs/LWvI6T9qTXORbmGd6TgoUw_pb_x600.png
https://www.vivino.com/vina-cobos-bramare-chanares-estate-malbec-valle-de-uco/w/5985400?year=2016&price_id=37505198,Bramare Chañares Estate Malbec,2016,Viña Cobos,4.4,211,,69.8549075%,52.710515%,19.638799999999996%,34.926335%,"{'oaky': 25, 'black fruit': 25, 'earthy': 14, 'spices': 12, 'red fruit': 10, 'floral': 3, 'yeasty': 2, 'ageing': 1, 'dried fruit': 1}","['beef', 'lamb']",['100%Malbec'],"['Argentina', 'Mendoza', 'Uco Valley']",Argentinian Uco Valley Malbec Red,https://images.vivino.com/thumbs/D4OrN2tJQZi_WzzkuwqO-A_pb_x600.png
https://www.vivino.com/antigal-one-la-dolores-single-vineyard-malbec/w/4525329?year=2008&price_id=36605335,ONE La Dolores Single Vineyard Malbec,2008,Antigal,4.4,162,58.33,68.0895625%,39.851200000000006%,16.8896225%,40.630435000000006%,"{'black fruit': 29, 'oaky': 22, 'dried fruit': 6, 'spices': 4, 'red fruit': 4, 'earthy': 4, 'yeasty': 3, 'floral': 1}","['beef', 'lamb', 'pork']",['100%Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,https://images.vivino.com/thumbs/9JrMJ0c1Q6eZ4LY6_XZ7Iw_pb_x600.png
https://www.vivino.com/chacra-treinta-y-dos-pinot-noir/w/1157825?year=2015&price_id=10468530,Treinta y Dos Pinot Noir,2015,Chacra,4.4,154,144.50,43.337014999999994%,15.921520000000001%,8.624175000000001%,48.62998%,"{'red fruit': 234, 'oaky': 145, 'earthy': 118, 'black fruit': 55, 'spices': 32, 'floral': 18, 'tree fruit': 9, 'ageing': 7, 'yeasty': 6, 'vegetal': 5, 'dried fruit': 3, 'citrus': 2}","['beef', 'veal', 'poultry', 'game (deer, venison)']",['100%Pinot Noir'],"['Argentina', 'Patagonia']",Argentinian Pinot Noir,https://images.vivino.com/thumbs/NCX_DYQbSJWYQguAXKwAEw_pb_x600.png
https://www.vivino.com/otronia-iii-vi/w/8049165?year=2018&price_id=28411851,III & VI,2018,Otronia,4.4,137,123.78,55.22568750000001%,,10.772115%,49.7961575%,"{'earthy': 34, 'tree fruit': 34, 'oaky': 18, 'citrus': 9, 'vegetal': 7, 'ageing': 3, 'floral': 3, 'yeasty': 2, 'tropical': 2}","['pork', 'vegetarian', 'poultry', 'rich fish (salmon, tuna etc)']",['Chardonnay'],"['Argentina', 'Patagonia']",Argentinian Chardonnay,https://images.vivino.com/thumbs/wKLIYI5fTGShI3umow0lJQ_pb_x600.png
https://www.vivino.com/trapiche-gran-medalla-malbec/w/22246?year=2020&price_id=38619591,Gran Medalla Malbec,2020,Trapiche,4.4,137,42.92,65.15456999999999%,33.251285%,20.673965000000003%,38.293062500000005%,"{'oaky': 433, 'black fruit': 368, 'earthy': 153, 'spices': 89, 'red fruit': 89, 'floral': 30, 'yeasty': 16, 'dried fruit': 11, 'vegetal': 9, 'ageing': 8, 'citrus': 1}","['beef', 'lamb', 'pork']",['Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,https://images.vivino.com/thumbs/eZZJx6F9TPia16RP04_tpA_pb_x600.png
https://www.vivino.com/ar-puramun-co-fermented/w/5440449?year=2013&price_id=21246958,Co-Fermented,2013,Puramun,4.4,133,,75.5650575%,54.6919%,20.799300000000006%,57.0914425%,"{'black fruit': 27, 'oaky': 19, 'earthy': 12, 'spices': 10, 'red fruit': 4, 'tree fruit': 2, 'dried fruit': 1, 'tropical': 1, 'citrus': 1}","['beef', 'lamb', 'poultry', 'pasta']","['Petit Verdot', 'Malbec']","['Argentina', 'Mendoza', 'Uco Valley']",Argentinian Bordeaux Blend,https://images.vivino.com/thumbs/rijVcigwRP2GHqoh4jcIhw_pb_x600.png
https://www.vivino.com/colome-altura-maxima-malbec/w/4399908?year=2018&price_id=37508466,Altura Máxima Malbec,2018,Colomé,4.4,134,141.95,69.6571875%,37.3356925%,18.950962499999996%,39.50985%,"{'black fruit': 95, 'oaky': 78, 'earthy': 55, 'spices': 34, 'red fruit': 29, 'floral': 11, 'dried fruit': 9, 'vegetal': 5, 'ageing': 3, 'yeasty': 2, 'citrus': 1}","['beef', 'lamb']",['Malbec'],"['Argentina', 'Salta']",Argentinian Salta Malbec Red,https://images.vivino.com/thumbs/qZTfPQSHSkyUwu8vVvTlRg_pb_x600.png
https://www.vivino.com/ar-pascual-toso-barrancas-vineyards-alta-syrah/w/2560132?year=2019&price_id=35159384,Barrancas Vineyards Alta Syrah,2019,Pascual Toso,4.4,130,,76.23736249999999%,55.4228825%,17.702559999999995%,43.9237575%,"{'oaky': 103, 'black fruit': 50, 'spices': 29, 'earthy': 23, 'red fruit': 19, 'floral': 5, 'yeasty': 2, 'ageing': 1, 'dried fruit': 1, 'vegetal': 1, 'citrus': 1, 'tree fruit': 1, 'tropical': 1}","['beef', 'lamb', 'poultry', 'game (deer, venison)']",['Shiraz/Syrah'],"['Argentina', 'Mendoza']",Argentinian Syrah,https://images.vivino.com/thumbs/SBjx-UTyT5Gmv58czj4NTw_pb_x600.png
https://www.vivino.com/achaval-ferrer-finca-altamira-malbec/w/1176258?year=2020&price_id=36650248,Finca Altamira Malbec,2020,Achaval-Ferrer,4.4,116,,66.4672425%,33.839217500000004%,19.528825%,39.221325%,"{'black fruit': 401, 'oaky': 386, 'earthy': 230, 'red fruit': 101, 'spices': 96, 'floral': 32, 'yeasty': 19, 'dried fruit': 18, 'ageing': 13, 'citrus': 12, 'vegetal': 8, 'tree fruit': 2, 'tropical': 1}","['beef', 'lamb']",['Malbec'],"['Argentina', 'Mendoza', 'Uco Valley', 'Paraje Altamira']",Argentinian Uco Valley Malbec Red,https://images.vivino.com/thumbs/oHO7g_nFT2iceF1YABiQdA_pb_x600.png
https://www.vivino.com/finca-decero-amano-remolinos-vineyard/w/1672847?year=2016&price_id=35203764,Amano Remolinos Vineyard,2016,Finca Decero,4.4,110,69.99,65.67245%,44.238792499999995%,31.754694999999998%,52.97415%,"{'oaky': 80, 'black fruit': 69, 'earthy': 38, 'red fruit': 27, 'spices': 19, 'floral': 9, 'yeasty': 6, 'dried fruit': 3, 'ageing': 1, 'citrus': 1, 'tree fruit': 1, 'tropical': 1}","['beef', 'lamb', 'pork', 'poultry', 'mushrooms', 'blue cheese']","['Cabernet Sauvignon', 'Malbec', 'Petit Verdot', 'Tannat']","['Argentina', 'Mendoza', 'Agrelo']",Argentinian Malbec Red Blend,https://images.vivino.com/thumbs/NZoQ7DU0SOmQ0y763nQODg_pb_x600.png
https://www.vivino.com/otronia-iii-vi/w/8049165?year=2017&price_id=28385243,III & VI,2017,Otronia,4.4,103,123.78,55.22568750000001%,,10.772115%,49.7961575%,"{'earthy': 34, 'tree fruit': 34, 'oaky': 18, 'citrus': 9, 'vegetal': 7, 'ageing': 3, 'floral': 3, 'yeasty': 2, 'tropical': 2}","['pork', 'vegetarian', 'poultry', 'rich fish (salmon, tuna etc)']",['Chardonnay'],"['Argentina', 'Patagonia']",Argentinian Chardonnay,https://images.vivino.com/thumbs/wKLIYI5fTGShI3umow0lJQ_pb_x600.png
https://www.vivino.com/bodegas-bianchi-enzo-bianchi/w/1356667?year=2015&price_id=36625840,Enzo Bianchi,2015,Bodegas Bianchi,4.4,90,,84.23232499999999%,62.119060000000005%,7.329557500000002%,65.7969575%,"{'oaky': 63, 'black fruit': 31, 'earthy': 27, 'spices': 13, 'red fruit': 11, 'dried fruit': 10, 'ageing': 8, 'yeasty': 2, 'tree fruit': 1, 'floral': 1}","['beef', 'lamb', 'poultry', 'pasta']","['Cabernet Sauvignon', 'Petit Verdot', 'Malbec']","['Argentina', 'Mendoza', 'San Rafael']",Argentinian Bordeaux Blend,https://images.vivino.com/thumbs/pByyBMTuSxqGh4o6rHMymA_pb_x600.png
https://www.vivino.com/zuccardi-finca-piedra-infinita-malbec/w/4314633?year=2020&price_id=37134518,Finca Piedra Infinita Malbec,2020,Zuccardi,4.4,90,190.01,65.89438750000001%,43.3240175%,20.397017499999997%,46.79042%,"{'black fruit': 188, 'earthy': 122, 'oaky': 121, 'red fruit': 86, 'spices': 32, 'floral': 22, 'yeasty': 8, 'citrus': 7, 'vegetal': 2, 'ageing': 1, 'dried fruit': 1}","['beef', 'lamb']",['Malbec'],"['Argentina', 'Mendoza', 'Uco Valley', 'Paraje Altamira']",Argentinian Uco Valley Malbec Red,https://images.vivino.com/thumbs/WuH10JZKRHeUpyHZ2xzBcQ_pb_x600.png
https://www.vivino.com/zuccardi-finca-los-membrillos-cabernet-sauvignon/w/3508289?year=2019&price_id=33521172,Finca Los Membrillos Cabernet Sauvignon,2019,Zuccardi,4.4,88,149,61.066215%,60.465869999999995%,14.532647500000003%,53.534357500000006%,"{'black fruit': 68, 'earthy': 35, 'oaky': 29, 'red fruit': 17, 'spices': 15, 'floral': 8, 'vegetal': 5, 'yeasty': 3, 'ageing': 1, 'tree fruit': 1, 'citrus': 1}","['beef', 'lamb', 'poultry']",['100%Cabernet Sauvignon'],"['Argentina', 'Mendoza', 'Uco Valley', 'La Consulta']",Argentinian Cabernet Sauvignon,https://images.vivino.com/thumbs/ohF-CTl_S3G5SmehhqigKA_pb_x600.png
https://www.vivino.com/bodegas-bianchi-enzo-bianchi/w/1356667?year=2017&price_id=27707401,Enzo Bianchi,2017,Bodegas Bianchi,4.4,81,,84.23232499999999%,62.119060000000005%,7.329557500000002%,65.7969575%,"{'oaky': 63, 'black fruit': 31, 'earthy': 27, 'spices': 13, 'red fruit': 11, 'dried fruit': 10, 'ageing': 8, 'yeasty': 2, 'tree fruit': 1, 'floral': 1}","['beef', 'lamb', 'poultry', 'pasta']","['Merlot', 'Cabernet Sauvignon', 'Malbec']","['Argentina', 'Mendoza', 'San Rafael']",Argentinian Bordeaux Blend,https://images.vivino.com/thumbs/pByyBMTuSxqGh4o6rHMymA_pb_x600.png
