wine_link,name,year,winery,rating,rating_qty,price,body,tannins,sweetness,acidity,notes,pairings,grapes,region,style,alcohol,image
https://www.vivino.com/vina-cobos-felino-malbec/w/43994?year=2023&price_id=37865468,Felino Malbec,2023,Viña Cobos,3.9,665,19.95,63.9138325%,33.7934175%,19.926425%,36.2547675%,"{'black fruit': 1371, 'oaky': 1278, 'red fruit': 564, 'earthy': 525, 'spices': 290, 'floral': 86, 'dried fruit': 50, 'yeasty': 41, 'ageing': 25, 'tree fruit': 21, 'vegetal': 17, 'citrus': 15, 'tropical': 3}","['beef', 'lamb', 'pork']",['Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,14%,https://images.vivino.com/thumbs/agQYQk2ZSBezjT2D0TYmmw_pb_x600.png
https://www.vivino.com/andeluna-cellars-altitud-malbec/w/1274533?year=2020&price_id=34887724,Altitud Malbec,2020,Andeluna,3.9,579,22.04,62.942105%,36.7764825%,22.868142499999994%,37.4865575%,"{'oaky': 210, 'black fruit': 152, 'red fruit': 66, 'earthy': 53, 'spices': 38, 'floral': 25, 'dried fruit': 18, 'vegetal': 8, 'ageing': 6, 'yeasty': 5, 'tree fruit': 3}","['beef', 'lamb']",['100%Malbec'],"['Argentina', 'Mendoza', 'Uco Valley', 'Tupungato']",Argentinian Tupungato Malbec Red,14.5%,https://images.vivino.com/thumbs/gH95-GsDTOyck3GxjlJEpQ_pb_x600.png
https://www.vivino.com/catena-appellation-agrelo-cabernet-sauvignon/w/5074467?year=2019&price_id=30318070,Appellation Agrelo Cabernet Sauvignon,2019,Catena,3.9,572,30.44,65.86114%,54.990219999999994%,11.400022500000002%,44.564747499999996%,"{'oaky': 277, 'black fruit': 277, 'earthy': 117, 'red fruit': 75, 'spices': 74, 'vegetal': 12, 'yeasty': 7, 'dried fruit': 7, 'ageing': 5, 'floral': 5, 'tree fruit': 1}","['beef', 'lamb', 'poultry']",['100%Cabernet Sauvignon'],"['Argentina', 'Mendoza', 'Agrelo']",Argentinian Cabernet Sauvignon,13.5%,https://images.vivino.com/thumbs/jXybD0VqSBmTqj04dxyQpA_pb_x600.png
https://www.vivino.com/altar-uco-edad-moderna-cabernet-sauvignon/w/6854531?year=2023&price_id=36462095,Edad Moderna Cabernet Sauvignon,2023,Altar Uco,3.9,based,26.82,55.482405%,51.9730625%,19.4175175%,54.853925%,"{'spices': 15, 'black fruit': 11, 'red fruit': 7, 'earthy': 5, 'oaky': 4, 'vegetal': 1}","['beef', 'lamb', 'poultry']",['Cabernet Sauvignon'],"['Argentina', 'Mendoza', 'Uco Valley', 'Tupungato']",Argentinian Cabernet Sauvignon,,https://images.vivino.com/thumbs/VMy5YrwjR9q1GcrvRB6w7g_pb_x600.png
https://www.vivino.com/alamos-seleccion-malbec/w/1890?year=2020&price_id=31843791,Selección Malbec,2020,Alamos,3.9,572,21.99,63.28554%,25.47428%,17.551349999999996%,35.305965%,"{'black fruit': 551, 'oaky': 442, 'earthy': 236, 'red fruit': 149, 'spices': 96, 'floral': 49, 'yeasty': 28, 'dried fruit': 21, 'citrus': 10, 'ageing': 8, 'tree fruit': 5, 'vegetal': 1}","['beef', 'lamb', 'pork']",['100%Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,13.5%,https://images.vivino.com/thumbs/ZsIicuYXQ-S56vv-tBhZZg_pb_x600.png
https://www.vivino.com/proemio-reserve-malbec/w/1218784?year=2018&price_id=38537943,Reserve Malbec,2018,Proemio,3.9,556,28.33,61.1198%,35.86120999999999%,23.679762499999995%,35.6077%,"{'oaky': 49, 'black fruit': 41, 'earthy': 20, 'red fruit': 9, 'spices': 8, 'yeasty': 2, 'vegetal': 1, 'floral': 1}","['beef', 'lamb', 'pork']",['Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,,https://images.vivino.com/thumbs/OX_bJxkJQz6HL64w49u19g_pb_x600.png
https://www.vivino.com/alta-vista-atemporal-blend/w/1135523?year=2018&price_id=31328240,Atemporal Blend,2018,Alta Vista,3.9,555,20.99,74.4405%,54.330980000000004%,13.071485%,57.110535%,"{'oaky': 93, 'black fruit': 74, 'spices': 39, 'earthy': 25, 'red fruit': 11, 'yeasty': 5, 'dried fruit': 5, 'ageing': 4, 'floral': 4}","['beef', 'lamb', 'poultry', 'pasta']","['Cabernet Sauvignon', 'Malbec', 'Petit Verdot']","['Argentina', 'Mendoza']",Argentinian Bordeaux Blend,14.5%,https://images.vivino.com/thumbs/oIyYGHoGQfqfkC3pjmsHAA_pb_x600.png
https://www.vivino.com/los-noques-malbec/w/2558962?year=2021&price_id=37075386,Malbec,2021,Los Noques,3.9,based,20.99,66.50196249999999%,30.266825000000004%,13.050787500000002%,41.856895%,"{'oaky': 46, 'black fruit': 24, 'red fruit': 17, 'spices': 10, 'earthy': 9, 'ageing': 5, 'yeasty': 1, 'dried fruit': 1, 'vegetal': 1}","['beef', 'lamb']",['Malbec'],"['Argentina', 'Mendoza', 'Uco Valley']",Argentinian Uco Valley Malbec Red,,https://images.vivino.com/thumbs/5vC3W2AzSAyzPISG6vxZBw_pb_x600.png
https://www.vivino.com/bodega-y-cavas-de-weinert-carrascal/w/2467?year=2020&price_id=37047705,Carrascal,2020,Weinert,3.9,541,18.89,85%,57.0502575%,13.933609999999998%,63.47601999999999%,"{'oaky': 529, 'black fruit': 398, 'earthy': 284, 'spices': 100, 'red fruit': 72, 'dried fruit': 49, 'yeasty': 17, 'vegetal': 10, 'ageing': 2, 'tree fruit': 2, 'citrus': 2, 'floral': 1}","['beef', 'lamb', 'poultry', 'pasta']","['Cabernet Sauvignon', 'Malbec', 'Merlot']","['Argentina', 'Mendoza']",Argentinian Bordeaux Blend,,https://images.vivino.com/thumbs/89pOMYaASpOa-35qg_syog_pb_x600.png
https://www.vivino.com/superuco-calcareo-granito-cabernet-franc/w/5086872?year=2019&price_id=38482726,Calcáreo Granito Cabernet Franc,2019,SuperUco,3.9,based,43.92,45.684920000000005%,66.226685%,12.180587500000001%,77.7668175%,"{'black fruit': 25, 'earthy': 24, 'oaky': 20, 'vegetal': 11, 'spices': 8, 'red fruit': 8, 'floral': 5, 'yeasty': 3, 'citrus': 2, 'ageing': 1}","['beef', 'lamb', 'pork', 'vegetarian', 'poultry', ""goat's milk cheese""]",['Cabernet Franc'],"['Argentina', 'Mendoza', 'Uco Valley', 'Tupungato']",Argentinian Tupungato Cabernet Franc Red,,https://images.vivino.com/thumbs/bCvCB0AIT-CJBC6X5fOZBA_pb_x600.png
