wine_link,name,year,winery,rating,rating_qty,price,body,tannis,sweetness,acidity,notes,pairings,grapes,region,style,image
https://www.vivino.com/ar-pascual-toso-reserve-cabernet-sauvignon-barrancas-vineyards/w/1084098?year=2020&price_id=36983975,Reserve Cabernet Sauvignon (Barrancas Vineyards),2020,Pascual Toso,3.9,466,,66.30005%,54.72112250000001%,7.5980775000000005%,44.056124999999994%,"{'oaky': 144, 'black fruit': 97, 'earthy': 53, 'spices': 38, 'red fruit': 37, 'dried fruit': 6, 'yeasty': 3, 'floral': 3, 'ageing': 2, 'tree fruit': 2, 'vegetal': 1, 'citrus': 1}","['beef', 'lamb', 'poultry']",['Cabernet Sauvignon'],"['Argentina', 'Mendoza']",Argentinian Cabernet Sauvignon,https://images.vivino.com/thumbs/7f935AfcTYGq1dhTFSUcrQ_pb_x600.png
https://www.vivino.com/mascota-vineyards-eccentric-cabernet-sauvignon/w/7689658?year=2020&price_id=37313995,Eccentric Cabernet Sauvignon,2020,Mascota Vineyards,3.9,463,,66.24587%,48.91450999999999%,14.6502075%,42.333125%,"{'black fruit': 357, 'red fruit': 240, 'oaky': 228, 'earthy': 94, 'spices': 38, 'yeasty': 9, 'dried fruit': 7, 'vegetal': 7, 'tree fruit': 5, 'citrus': 4, 'ageing': 2, 'floral': 2, 'tropical': 1}","['beef', 'lamb', 'poultry']",['100%Cabernet Sauvignon'],"['Argentina', 'Mendoza']",Argentinian Cabernet Sauvignon,https://images.vivino.com/thumbs/LmIIw9czSbuaxa_T0Y2waw_pb_x600.png
https://www.vivino.com/ed-edmundo-cabernet-sauvignon/w/7581334?year=2023&price_id=38461563,Cabernet Sauvignon,2023,Ed Edmundo,3.9,464,,66.8242075%,51.17576%,7.3610200000000034%,42.781200000000005%,"{'black fruit': 549, 'oaky': 525, 'red fruit': 342, 'earthy': 128, 'spices': 51, 'yeasty': 17, 'citrus': 15, 'tree fruit': 12, 'dried fruit': 11, 'ageing': 9, 'floral': 4, 'vegetal': 1}","['beef', 'lamb', 'poultry']",['100%Cabernet Sauvignon'],"['Argentina', 'Mendoza']",Argentinian Cabernet Sauvignon,https://images.vivino.com/thumbs/47a_mpiWQlOv3BVBIXbT3w_150x200.jpg
https://www.vivino.com/mascota-vineyards-la-mascota-chardonnay/w/2262886?year=2021&price_id=36738069,La Mascota Chardonnay,2021,Mascota Vineyards,3.9,446,,53.595975%,,14.338305000000002%,43.471025000000004%,"{'oaky': 215, 'tree fruit': 139, 'citrus': 104, 'tropical': 71, 'yeasty': 37, 'earthy': 32, 'vegetal': 28, 'ageing': 21, 'floral': 5, 'spices': 4, 'black fruit': 1, 'red fruit': 1, 'dried fruit': 1}","['pork', 'vegetarian', 'poultry', 'rich fish (salmon, tuna etc)']",['100%Chardonnay'],"['Argentina', 'Mendoza']",Argentinian Chardonnay,https://images.vivino.com/thumbs/raiwxeKqS4OLVCubU8yIVA_pb_x600.png
https://www.vivino.com/finca-el-origen-mountain-character-reserva-malbec/w/9594687?year=2021&price_id=35259844,Mountain Character Reserva Malbec,2021,Finca el Origen,3.9,422,,64.3761925%,32.09481%,11.804892499999998%,35.21516749999999%,"{'oaky': 193, 'black fruit': 172, 'earthy': 94, 'red fruit': 41, 'spices': 29, 'floral': 10, 'dried fruit': 9, 'yeasty': 7, 'ageing': 5, 'vegetal': 2, 'tree fruit': 2, 'citrus': 1}","['beef', 'lamb']",['Malbec'],"['Argentina', 'Mendoza', 'Uco Valley']",Argentinian Uco Valley Malbec Red,https://images.vivino.com/thumbs/6FtMwE3DQ165NwmNrnwx3w_150x200.jpg
https://www.vivino.com/bodega-benegas-juan-benegas-malbec/w/1154669?year=2021&price_id=38007280,Juan Benegas Malbec,2021,Benegas,3.9,400,,54.8833725%,32.2837825%,21.13357%,40.068529999999996%,"{'oaky': 27, 'black fruit': 25, 'earthy': 11, 'spices': 10, 'red fruit': 7, 'dried fruit': 4, 'citrus': 1, 'floral': 1, 'vegetal': 1}","['beef', 'lamb', 'pork']",['Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,https://images.vivino.com/thumbs/JQabJ-pgRkS7h0jt5zj6AA_pb_x600.png
https://www.vivino.com/kaiken-indomito-cabernet-franc/w/9573059?year=2020&price_id=36355897,Indómito Cabernet Franc,2020,Kaiken,3.9,393,,47.054320000000004%,48.557100000000005%,18.642757500000002%,57.837037499999994%,"{'oaky': 19, 'red fruit': 16, 'black fruit': 7, 'earthy': 4, 'spices': 4, 'vegetal': 4}","['beef', 'lamb', 'pork', 'vegetarian', 'poultry', ""goat's milk cheese""]",['Cabernet Franc'],"['Argentina', 'Mendoza']",Argentinian Mendoza Cabernet Franc Red,https://images.vivino.com/thumbs/ARtX9xDzSMW2HudEo9rR3Q_150x200.jpg
https://www.vivino.com/alpasion-cabernet-sauvignon/w/7411907?year=2021&price_id=38094383,Cabernet Sauvignon,2021,Alpasión,3.9,based,,67.724175%,57.325712499999995%,15.9319275%,42.47183%,"{'black fruit': 15, 'oaky': 13, 'earthy': 12, 'red fruit': 5, 'spices': 5, 'ageing': 1, 'yeasty': 1, 'tree fruit': 1, 'vegetal': 1}","['beef', 'lamb', 'poultry']",['100%Cabernet Sauvignon'],"['Argentina', 'Mendoza', 'Uco Valley']",Argentinian Cabernet Sauvignon,https://images.vivino.com/thumbs/UEMpapkIQnuAsA_RDeS3Ew_pb_x600.png
https://www.vivino.com/tapiz-alta-collection-chardonnay/w/2081080?year=2016&price_id=26391696,Alta Collection Chardonnay,2016,Tapiz,3.9,based,,53.9193625%,,14.990682499999998%,42.888980000000004%,"{'oaky': 66, 'tree fruit': 43, 'tropical': 25, 'citrus': 19, 'yeasty': 14, 'earthy': 12, 'vegetal': 10, 'ageing': 9, 'floral': 3, 'spices': 2, 'dried fruit': 2}","['pork', 'vegetarian', 'poultry', 'rich fish (salmon, tuna etc)']",['100%Chardonnay'],"['Argentina', 'Mendoza']",Argentinian Chardonnay,https://images.vivino.com/thumbs/2k5orezsRvuO_mQzne-IGQ_pb_x600.png
https://www.vivino.com/terroir-expressions-hostage-single-vineyard-la-consulta-malbec/w/8841352?year=2019&price_id=37226647,Single Vineyard La Consulta Malbec,2019,Terroir Expressions Hostage,3.9,based,,65.1998875%,36.395882500000006%,17.31292%,35.721045000000004%,"{'black fruit': 19, 'red fruit': 9, 'earthy': 8, 'oaky': 7, 'spices': 2, 'dried fruit': 1, 'tree fruit': 1}","['beef', 'lamb']",['Malbec'],"['Argentina', 'Mendoza', 'Uco Valley', 'Paraje Altamira']",Argentinian Uco Valley Malbec Red,https://images.vivino.com/thumbs/45e75h1MSju8QkPM8bfBCw_pb_x600.png
