wine_link,name,year,winery,rating,rating_qty,price,body,tannis,sweetness,acidity,notes,pairings,grapes,region,style,image
https://www.vivino.com/amalaya-rosado-malbec-torrontes/w/1929809?year=2021&price_id=35086054,Rosado (Malbec - Torrontés),2021,Amalaya,3.7,281,16.79,47.166199999999996%,,13.265194999999999%,52.3499%,"{'red fruit': 65, 'citrus': 26, 'black fruit': 19, 'oaky': 16, 'spices': 14, 'earthy': 12, 'tree fruit': 11, 'floral': 5, 'vegetal': 5, 'tropical': 3, 'yeasty': 3, 'ageing': 1}","['pork', 'shellfish', 'vegetarian', 'poultry', 'mild and soft cheese', 'aperitif']",['Malbec'],"['Argentina', 'Salta']",Argentinian Rosé,https://images.vivino.com/thumbs/RJkCADxhQPmPKzQb9sSrOA_pb_x600.png
https://www.vivino.com/renacer-punto-final-malbec-rose/w/1385850?year=2021&price_id=36459105,Punto Final Malbec Rosé,2021,Renacer,3.7,268,19.99,34.644740000000006%,,11.4013125%,54.622805%,"{'red fruit': 19, 'tree fruit': 11, 'citrus': 4, 'vegetal': 2, 'yeasty': 2, 'tropical': 1}","['spicy food', 'mature and hard cheese', 'appetizers and snacks', 'blue cheese', 'cured meat']",['Malbec'],"['Argentina', 'Mendoza']",Argentinian Malbec Rosé,https://images.vivino.com/thumbs/Kvenu-n5RiWeI4TLK72AfQ_pb_x600.png
https://www.vivino.com/finca-decero-flight-of-the-condor-malbec/w/9026281?year=2019&price_id=29961342,Flight of the Condor Malbec,2019,Finca Decero,3.7,268,20,65.613585%,27.483592500000007%,16.44691%,34.360045%,"{'black fruit': 41, 'oaky': 29, 'spices': 10, 'red fruit': 6, 'yeasty': 3, 'earthy': 2, 'ageing': 1, 'floral': 1}","['beef', 'lamb', 'pork']",['Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,https://images.vivino.com/thumbs/_XDWzY5NTCGLaQeSiMs6hQ_pb_x600.png
https://www.vivino.com/bodegas-y-vinedos-nicolas-catena-la-marchigiana-criolla-chica/w/6691069?year=2023&price_id=37794795,La Marchigiana Criolla Chica,2023,Bodegas y Viñedos Nicolas Catena,3.7,based,31.45,,,,,"{'red fruit': 16, 'tree fruit': 4, 'citrus': 4, 'black fruit': 3, 'yeasty': 2, 'ageing': 1, 'oaky': 1, 'vegetal': 1, 'earthy': 1, 'dried fruit': 1, 'spices': 1, 'floral': 1}","['beef', 'lamb', 'pork']",['Criolla Grande'],"['Argentina', 'Mendoza']",Contains sulfites,https://images.vivino.com/thumbs/0TND1k_XTVqI-4syO6nk-g_pb_x600.png
https://www.vivino.com/santa-julia-reserva-malbec/w/19453?year=2023&price_id=37714203,Reserva Malbec,2023,Santa Julia,3.7,260,16.95,61.83070500000001%,29.255554999999994%,19.163345000000007%,36.700514999999996%,"{'black fruit': 844, 'oaky': 762, 'red fruit': 342, 'earthy': 195, 'spices': 127, 'yeasty': 37, 'floral': 37, 'citrus': 18, 'tree fruit': 13, 'dried fruit': 12, 'vegetal': 12, 'ageing': 5, 'tropical': 1}","['beef', 'lamb']",['Malbec'],"['Argentina', 'Mendoza', 'Uco Valley']",Argentinian Uco Valley Malbec Red,https://images.vivino.com/thumbs/E7Ophz6gT_GZrfjzRN-Qjg_pb_x600.png
https://www.vivino.com/salentein-portillo-sauvignon-blanc/w/1977856?year=2023&price_id=37286543,Portillo Sauvignon Blanc,2023,Salentein,3.7,246,18.95,42.114250000000006%,,1.8645024999999986%,65.4443125%,"{'citrus': 274, 'tree fruit': 185, 'tropical': 100, 'vegetal': 78, 'earthy': 44, 'oaky': 19, 'yeasty': 11, 'spices': 7, 'red fruit': 6, 'ageing': 4, 'floral': 3, 'black fruit': 3}","['shellfish', 'vegetarian', ""goat's milk cheese""]",['100%Sauvignon Blanc'],"['Argentina', 'Mendoza', 'Uco Valley']",Argentinian Sauvignon Blanc,https://images.vivino.com/thumbs/4sljI2PYSxq8HBeEvI3_JQ_pb_x600.png
https://www.vivino.com/tintonegro-mendoza-malbec-mendoza/w/1222646?year=2021&price_id=37317715,Mendoza Malbec,2021,Tinto Negro (TintoNegro),3.7,240,13.64,59.79512749999999%,30.2646%,18.593762499999997%,37.442105%,"{'black fruit': 372, 'oaky': 310, 'earthy': 200, 'red fruit': 139, 'spices': 95, 'yeasty': 20, 'dried fruit': 13, 'floral': 11, 'tree fruit': 9, 'ageing': 8, 'citrus': 7, 'vegetal': 6}","['beef', 'lamb', 'pork']",['100%Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,https://images.vivino.com/thumbs/xH_TH73fTnWia8k5aCBa4g_pb_x600.png
https://www.vivino.com/ninety-cellars-lot-23-old-vine-malbec/w/1216179?year=2020&price_id=33967698,Lot 23 Old Vine Malbec,2020,90+ Cellars,3.7,233,19.99,67.318025%,24.31005%,16.529974999999997%,36.3921%,"{'black fruit': 205, 'oaky': 133, 'red fruit': 77, 'earthy': 51, 'spices': 28, 'yeasty': 6, 'ageing': 5, 'dried fruit': 3, 'vegetal': 2, 'tree fruit': 2, 'tropical': 2, 'citrus': 1, 'floral': 1}","['beef', 'lamb', 'pork']",['100%Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,https://images.vivino.com/thumbs/WSbBwS-_SnWJSJ-Oen35vw_pb_x600.png
https://www.vivino.com/artesano-mendoza-organic-white-malbec/w/9972694?year=2023&price_id=35844450,Organic White Malbec,2023,Artesano,3.7,227,22.97,43.855045%,,10.9277075%,51.5839625%,"{'tree fruit': 49, 'citrus': 41, 'earthy': 19, 'tropical': 6, 'vegetal': 5, 'spices': 3, 'floral': 3, 'ageing': 2, 'black fruit': 1, 'red fruit': 1, 'oaky': 1}","['pork', 'shellfish', 'vegetarian', 'mature and hard cheese', 'lean fish', 'mild and soft cheese']",['Malbec'],"['Argentina', 'Mendoza', 'Agrelo']",Argentinian White,https://images.vivino.com/thumbs/1a2TlANPSb2oLoFFfntxiw_pb_x600.png
https://www.vivino.com/layer-cake-malbec/w/86246?year=2021&price_id=33654283,Malbec,2021,Layer Cake,3.7,224,20.99,66.874955%,22.072010000000006%,17.367175000000003%,33.229130000000005%,"{'oaky': 591, 'black fruit': 404, 'earthy': 321, 'red fruit': 198, 'spices': 78, 'yeasty': 36, 'dried fruit': 25, 'ageing': 22, 'vegetal': 14, 'tree fruit': 9, 'citrus': 6, 'floral': 5, 'tropical': 2}","['beef', 'lamb', 'pork']",['100%Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,https://images.vivino.com/thumbs/2NzZouDgSHmtix845tpJpA_pb_x600.png
